,top50_scores,top25_scores,top10_scores
Left.Thalamus.Proper,9.0,9.0,9.0
Left.Putamen,9.0,9.0,9.0
X3rd.Ventricle,6.0,6.0,6.0
rh.fimbria,6.0,6.0,6.0
Left.Cerebellum.Cortex,9.0,6.0,6.0
lh_G_front_sup_thickness,6.0,6.0,6.0
Brain.Stem,6.0,6.0,6.0
Right.Amygdala,6.0,6.0,6.0
rh_S_postcentral_thickness,3.0,3.0,3.0
lh_WhiteSurfArea_area,6.0,3.0,3.0
lh.CA4,3.0,3.0,3.0
lh_G.S_frontomargin_area,3.0,3.0,3.0
lh_insula_thickness,3.0,3.0,3.0
BrainSegVol.to.eTIV,6.0,6.0,3.0
rh_supramarginal_thickness,3.0,3.0,3.0
Right.Cerebellum.White.Matter,6.0,3.0,3.0
lh_G_pariet_inf.Angular_volume,3.0,3.0,3.0
Right.Lateral.Ventricle,6.0,6.0,3.0
rh_postcentral_thickness,3.0,3.0,3.0
lh_superiorfrontal_thickness,6.0,6.0,3.0
rh_S_intrapariet.P_trans_thickness,0.0,0.0,0.0
rh_S_interm_prim.Jensen_thickness,0.0,0.0,0.0
lh_bankssts_area,0.0,0.0,0.0
rh_S_oc_sup.transversal_thickness,0.0,0.0,0.0
rh_S_front_sup_thickness,0.0,0.0,0.0
rh_S_front_middle_thickness,0.0,0.0,0.0
rh_S_oc_middle.Lunatus_thickness,0.0,0.0,0.0
rh_S_parieto_occipital_thickness,0.0,0.0,0.0
rh_S_occipital_ant_thickness,6.0,0.0,0.0
rh_S_oc.temp_lat_thickness,0.0,0.0,0.0
rh_S_oc.temp_med.Lingual_thickness,0.0,0.0,0.0
rh_S_orbital_lateral_thickness,0.0,0.0,0.0
rh_S_orbital_med.olfact_thickness,0.0,0.0,0.0
rh_S_orbital.H_Shaped_thickness,0.0,0.0,0.0
rh_S_collat_transv_post_thickness,0.0,0.0,0.0
rh_S_pericallosal_thickness,0.0,0.0,0.0
rh_S_precentral.inf.part_thickness,0.0,0.0,0.0
rh_S_precentral.sup.part_thickness,6.0,0.0,0.0
