,top50_scores,top25_scores,top10_scores
Left.Putamen,9.0,9.0,9.0
Left.Thalamus.Proper,9.0,9.0,9.0
Right.Lateral.Ventricle,6.0,6.0,6.0
lh_G_front_sup_thickness,6.0,6.0,6.0
lh_S_circular_insula_inf_thicknessstd,6.0,6.0,6.0
Left.Cerebellum.Cortex,9.0,6.0,6.0
lh_superiorfrontal_thickness,9.0,9.0,6.0
Brain.Stem,6.0,6.0,6.0
Right.Amygdala,6.0,6.0,6.0
X3rd.Ventricle,9.0,9.0,6.0
rh_G_front_sup_thickness,6.0,6.0,3.0
rh_postcentral_thickness,3.0,3.0,3.0
rh_supramarginal_thickness,3.0,3.0,3.0
lh_lateralorbitofrontal_volume,3.0,3.0,3.0
lh_lingual_thicknessstd,3.0,3.0,3.0
lh_lateraloccipital_volume,3.0,3.0,3.0
rh_S_postcentral_thickness,3.0,3.0,3.0
rh_superiortemporal_volume,3.0,3.0,3.0
rh_S_precentral.sup.part_thickness,6.0,0.0,0.0
rh_G_pariet_inf.Supramar_thickness,3.0,0.0,0.0
rh_G_postcentral_thickness,3.0,3.0,0.0
rh_G_temp_sup.Lateral_thickness,3.0,3.0,0.0
lh_supramarginal_thicknessstd,9.0,0.0,0.0
lh_medialorbitofrontal_thicknessstd,6.0,0.0,0.0
lh_parstriangularis_thicknessstd,6.0,0.0,0.0
lh_rostralmiddlefrontal_thicknessstd,6.0,0.0,0.0
lh_S_circular_insula_inf_thickness,3.0,0.0,0.0
lh_S_orbital_med.olfact_thickness,3.0,0.0,0.0
lh_S_orbital.H_Shaped_thickness,6.0,0.0,0.0
lh_Pole_occipital_thickness,9.0,6.0,0.0
lh_G_insular_short_thickness,3.0,0.0,0.0
lh_G_precuneus_thickness,6.0,3.0,0.0
lh_S_precentral.sup.part_thickness,6.0,6.0,0.0
rh_temporalpole_thickness,3.0,0.0,0.0
rh_G_front_middle_thickness,3.0,3.0,0.0
lh_S_temporal_inf_thickness,6.0,0.0,0.0
rh_fusiform_thickness,3.0,0.0,0.0
rh_parstriangularis_thickness,3.0,0.0,0.0
Left.Caudate,6.0,0.0,0.0
X4th.Ventricle,6.0,6.0,0.0
Left.VentralDC,6.0,3.0,0.0
Right.Cerebellum.White.Matter,3.0,3.0,0.0
Right.Cerebellum.Cortex,3.0,0.0,0.0
lh.CA4,3.0,3.0,0.0
rh.fimbria,6.0,6.0,0.0
MaskVol.to.eTIV,6.0,0.0,0.0
BrainSegVol.to.eTIV,6.0,6.0,0.0
Right.VentralDC,6.0,6.0,0.0
WM.hypointensities,6.0,3.0,0.0
SubCortGrayVol,3.0,0.0,0.0
lh_S_orbital.H_Shaped_thicknessstd,6.0,0.0,0.0
lh_G_precentral_thicknessstd,6.0,3.0,0.0
lh_G_temporal_inf_thicknessstd,6.0,0.0,0.0
lh_S_circular_insula_sup_thicknessstd,6.0,6.0,0.0
rh_G_precentral_thicknessstd,6.0,0.0,0.0
rh_parahippocampal_thicknessstd,3.0,0.0,0.0
rh_parsopercularis_thicknessstd,6.0,6.0,0.0
rh_G_postcentral_area,3.0,0.0,0.0
rh_precentral_area,3.0,3.0,0.0
rh_precuneus_area,3.0,0.0,0.0
rh_superiorfrontal_area,3.0,3.0,0.0
rh_superiorparietal_area,3.0,0.0,0.0
rh_supramarginal_area,3.0,0.0,0.0
rh_G.S_frontomargin_area,6.0,0.0,0.0
rh_S_subparietal_area,6.0,6.0,0.0
rh_S_front_inf_area,3.0,3.0,0.0
lh_WhiteSurfArea_area,9.0,6.0,0.0
lh_G.S_frontomargin_area,3.0,3.0,0.0
lh_inferiorparietal_area,3.0,0.0,0.0
lh_lateralorbitofrontal_area,3.0,3.0,0.0
lh_posteriorcingulate_area,6.0,6.0,0.0
lh_rostralmiddlefrontal_area,3.0,0.0,0.0
lh_superiorfrontal_area,3.0,0.0,0.0
lh_S_postcentral_area,3.0,3.0,0.0
lh_S_suborbital_area,3.0,0.0,0.0
rh_inferiortemporal_area,3.0,0.0,0.0
lh_S_interm_prim.Jensen_area,3.0,0.0,0.0
lh_G_postcentral_area,6.0,0.0,0.0
lh_Lat_Fis.ant.Horizont_area,3.0,3.0,0.0
lh_S_central_area,6.0,0.0,0.0
lh_S_circular_insula_ant_area,3.0,0.0,0.0
lh_S_circular_insula_inf_area,6.0,3.0,0.0
rh_G.S_subcentral_volume,3.0,0.0,0.0
lh_parstriangularis_thickness,6.0,0.0,0.0
lh_pericalcarine_thickness,3.0,0.0,0.0
lh_G.S_cingul.Mid.Ant_thickness,3.0,0.0,0.0
lh_G_pariet_inf.Angular_volume,3.0,3.0,0.0
lh_G_pariet_inf.Supramar_volume,3.0,0.0,0.0
lh_Lat_Fis.ant.Horizont_volume,3.0,0.0,0.0
lh_superiorfrontal_volume,3.0,0.0,0.0
lh_supramarginal_volume,3.0,3.0,0.0
lh_G_cuneus_volume,3.0,0.0,0.0
rh_lateralorbitofrontal_volume,6.0,0.0,0.0
lh_S_circular_insula_sup_volume,3.0,0.0,0.0
rh_pericalcarine_volume,3.0,0.0,0.0
lh_S_interm_prim.Jensen_volume,3.0,0.0,0.0
lh_S_precentral.inf.part_volume,3.0,0.0,0.0
lh_S_suborbital_volume,3.0,3.0,0.0
