	top20_scores	top10_scores	top5_scores
ac_slope	9.0	9.0	9.0
ad_slope	9.0	9.0	9.0
sdsd	9.0	9.0	9.0
smoke	9.0	9.0	9.0
rmssd	9.0	9.0	9.0
afib	9.0	3.0	0.0
d/a	0.0	0.0	0.0
(b-e)/a	0.0	0.0	0.0
b-a	0.0	0.0	0.0
e/a	0.0	0.0	0.0
c/a	0.0	0.0	0.0
b/a	0.0	0.0	0.0
t_ce	0.0	0.0	0.0
t_be	0.0	0.0	0.0
t_bd	9.0	6.0	0.0
t_ae	0.0	0.0	0.0
t_ad	9.0	9.0	0.0
t_ac	9.0	6.0	0.0
(c+d-b)/a	0.0	0.0	0.0
ab_slope	0.0	0.0	0.0
b - (d/a)	3.0	0.0	0.0
t_systolic_mean	0.0	0.0	0.0
dt_var	9.0	0.0	0.0
t_diastolic_var	0.0	0.0	0.0
t_systolic_var	0.0	0.0	0.0
ratio_mean	0.0	0.0	0.0
dt_mean	0.0	0.0	0.0
t_diastolic_mean	0.0	0.0	0.0
de_slope	0.0	0.0	0.0
t_cd	0.0	0.0	0.0
ce_slope	0.0	0.0	0.0
cd_slope	0.0	0.0	0.0
be_slope	0.0	0.0	0.0
bd_slope	9.0	0.0	0.0
bc_slope	9.0	9.0	0.0
ae_slope	6.0	0.0	0.0
t_de	0.0	0.0	0.0
t_ab	0.0	0.0	0.0
t_bc	0.0	0.0	0.0
kurtosisRR	0.0	0.0	0.0
medianRR	0.0	0.0	0.0
medianAA	0.0	0.0	0.0
meanAA	0.0	0.0	0.0
madRR	0.0	0.0	0.0
madAA	0.0	0.0	0.0
lf	0.0	0.0	0.0
kurtosisAA	0.0	0.0	0.0
bpm	0.0	0.0	0.0
ibi	9.0	9.0	0.0
hf	0.0	0.0	0.0
entropyRR	0.0	0.0	0.0
embedim	0.0	0.0	0.0
corrRRAA_Pvalue	0.0	0.0	0.0
corrRRAA	0.0	0.0	0.0
opt_delay	0.0	0.0	0.0
pnn20	3.0	0.0	0.0
pnn50	6.0	0.0	0.0
quality	0.0	0.0	0.0
sdnn	9.0	0.0	0.0
skewnessAA	0.0	0.0	0.0
skewnessRR	0.0	0.0	0.0
std_devAA	0.0	0.0	0.0
tpr	9.0	3.0	0.0
tpr_RR_diff	0.0	0.0	0.0
weight	0.0	0.0	0.0
a	0.0	0.0	0.0
b	9.0	0.0	0.0
c	9.0	0.0	0.0
d	0.0	0.0	0.0
e	0.0	0.0	0.0
AGI	9.0	0.0	0.0
ratio_var	0.0	0.0	0.0
